id,review,sentiment,review_length,word_count
0,Brilliant from start to finish. The pacing was perfect.,positive,55,9
1,Not particularly memorable but not offensive either.,neutral,52,7
2,Worst purchase ever. Cheap materials and poor craftsmanship.,negative,60,8
3,"Wonderful script, great acting, and a story that stays with you long after.",positive,75,13
4,I was bored within the first 10 minutes. It never got better.,negative,61,12
5,Cheap and nasty. Looks terrible in real life.,negative,45,8
6,Heartwarming and funny in equal measure. A perfect family film.,positive,63,10
7,"It was an average film. Some parts were good, others less so.",neutral,61,12
8,Returned immediately. Complete waste of money.,negative,46,6
9,Returned immediately. Complete waste of money.,negative,46,6
10,Dreadful. Painful to sit through. Avoid at all costs.,negative,53,9
11,Outstanding customer service and a top-quality product.,positive,55,7
12,This movie was absolutely fantastic! The acting was superb and the story kept me hooked.,positive,88,15
13,Best purchase I have made this year. Highly recommend.,positive,54,9
14,A masterpiece of modern cinema. The director did an outstanding job.,positive,68,11
15,Average all round. A solid three-star experience.,neutral,49,7
16,One of the most touching movies I have ever watched. Truly inspiring.,positive,69,12
17,Functional and affordable. That is about all there is to say.,neutral,61,11
18,A complete disaster from beginning to end. Hugely disappointing.,negative,64,9
19,The plot was acceptable but the ending felt a bit rushed.,neutral,57,11
20,Five stars all round. Fast shipping and perfect condition.,positive,58,9
21,An emotional rollercoaster in the best possible way. Loved it!,positive,62,10
22,Average experience. Would not go out of my way to recommend.,neutral,60,11
23,"Excellent quality, very happy with my purchase. Will buy again.",positive,63,10
24,Average experience. Would not go out of my way to recommend.,neutral,60,11
25,Poorly written and badly directed. A total mess.,negative,48,8
26,Absolute rubbish. Stopped working after one week.,negative,49,7
27,"The movie was okay. Not great, but not terrible either.",neutral,55,10
28,Some interesting ideas that were not fully explored. Just okay.,neutral,63,10
29,The acting was okay. The story was reasonably entertaining.,neutral,59,9
30,The chemistry between the lead actors was electric. Very entertaining.,positive,70,10
31,Okay product. Not amazing but not terrible. Neutral feelings.,neutral,61,9
32,I want my money back. This movie was absolutely dreadful.,negative,57,10
33,Nothing made sense in this film. Very frustrating to watch.,negative,59,10
34,Average experience. Would not go out of my way to recommend.,neutral,60,11
35,Boring and predictable. I nearly fell asleep halfway through.,negative,61,9
36,A huge disappointment. The trailer was far more interesting than the film.,negative,74,12
37,Brilliant product. Does exactly what it says on the tin.,positive,56,10
38,Some good moments but overall just average.,neutral,43,7
39,Not bad for the money. Neutral experience overall.,neutral,50,8
40,An emotional rollercoaster in the best possible way. Loved it!,positive,62,10
41,Heartwarming and funny in equal measure. A perfect family film.,positive,63,10
42,Okay product. Not amazing but not terrible. Neutral feelings.,neutral,61,9
43,Appalling quality control. Would not recommend to anyone.,negative,57,8
44,Terrible quality. Looks nothing like the photos. Very disappointed.,negative,67,9
45,Completely useless. Does not work as advertised. Avoid.,negative,55,8
46,"Gets the job done. No more, no less.",neutral,36,8
47,One of the most touching movies I have ever watched. Truly inspiring.,positive,69,12
48,It was watchable but I probably would not recommend it strongly.,neutral,64,11
49,The special effects were cheap and the dialogue was cringeworthy.,negative,65,10
50,A feel-good movie that left me smiling for days. Highly enjoyable.,positive,66,11
51,A feel-good movie that left me smiling for days. Highly enjoyable.,positive,66,11
52,An emotional rollercoaster in the best possible way. Loved it!,positive,62,10
53,"Gets the job done. No more, no less.",neutral,36,8
54,Average all round. A solid three-star experience.,neutral,49,7
55,"It was an average film. Some parts were good, others less so.",neutral,61,12
56,Some interesting ideas that were not fully explored. Just okay.,neutral,63,10
57,A standard entry in the genre. Nothing to get excited about.,neutral,60,11
58,"The movie was okay. Not great, but not terrible either.",neutral,55,10
59,The film had potential but did not fully deliver on its promise.,neutral,64,12
60,It is fine. Arrived on time and works as expected.,neutral,50,10
61,The acting was okay. The story was reasonably entertaining.,neutral,59,9
62,"It was an average film. Some parts were good, others less so.",neutral,61,12
63,Terrible quality. Looks nothing like the photos. Very disappointed.,negative,67,9
64,The characters were flat and the story was painfully slow.,negative,58,10
65,A middle-of-the-road film. Neither impressive nor terrible.,neutral,59,7
66,The best movie of the year without a doubt. Stunning visuals.,positive,61,11
67,Appalling quality control. Would not recommend to anyone.,negative,57,8
68,A middle-of-the-road film. Neither impressive nor terrible.,neutral,59,7
69,This film exceeded all my expectations. Beautiful and moving.,positive,61,9
70,Returned immediately. Complete waste of money.,negative,46,6
71,It is fine. Arrived on time and works as expected.,neutral,50,10
72,It is alright. Middling quality but serves its purpose.,neutral,55,9
73,One of the worst films I have ever seen. Do not bother watching.,negative,64,13
74,Exactly what I needed. Works flawlessly. Very satisfied.,positive,56,8
75,It was watchable but I probably would not recommend it strongly.,neutral,64,11
76,Terrible movie. Waste of two hours. The plot made no sense at all.,negative,66,13
77,Arrived damaged and the company refused to help. Disgraceful service.,negative,69,10
78,It is alright. Middling quality but serves its purpose.,neutral,55,9
79,"Gets the job done. No more, no less.",neutral,36,8
80,A standard entry in the genre. Nothing to get excited about.,neutral,60,11
81,Awful product. Broke after two days. Total waste of money.,negative,58,10
82,"Satisfactory purchase. Could have been better, could have been worse.",neutral,69,10
83,The acting was okay. The story was reasonably entertaining.,neutral,59,9
84,Average quality. It works but I expected better for the price.,neutral,62,11
85,Poorly written and badly directed. A total mess.,negative,48,8
86,Some interesting ideas that were not fully explored. Just okay.,neutral,63,10
87,It is alright. Middling quality but serves its purpose.,neutral,55,9
88,Terrible quality. Looks nothing like the photos. Very disappointed.,negative,67,9
89,Average all round. A solid three-star experience.,neutral,49,7
90,Boring and predictable. I nearly fell asleep halfway through.,negative,61,9
91,Absolutely love this! It works perfectly and looks great.,positive,57,9
92,Average experience. Would not go out of my way to recommend.,neutral,60,11
93,"Gets the job done. No more, no less.",neutral,36,8
94,A masterpiece of modern cinema. The director did an outstanding job.,positive,68,11
95,Appalling quality control. Would not recommend to anyone.,negative,57,8
96,The quality is acceptable. Met my basic requirements.,neutral,53,8
97,Cheap and nasty. Looks terrible in real life.,negative,45,8
98,Average experience. Would not go out of my way to recommend.,neutral,60,11
99,Absolute rubbish. Stopped working after one week.,negative,49,7
100,Great product! Works exactly as described and arrived quickly.,positive,62,9
101,Boring and predictable. I nearly fell asleep halfway through.,negative,61,9
102,I was bored within the first 10 minutes. It never got better.,negative,61,12
103,A complete disaster from beginning to end. Hugely disappointing.,negative,64,9
104,A standard entry in the genre. Nothing to get excited about.,neutral,60,11
105,"Wonderful script, great acting, and a story that stays with you long after.",positive,75,13
106,"Gets the job done. No more, no less.",neutral,36,8
107,I want my money back. This movie was absolutely dreadful.,negative,57,10
108,The acting was okay. The story was reasonably entertaining.,neutral,59,9
109,"Not bad, not great. A mediocre experience overall.",neutral,50,8
110,Some good moments but overall just average.,neutral,43,7
111,"Excellent quality, very happy with my purchase. Will buy again.",positive,63,10
112,Awful acting and a storyline that went nowhere. Very disappointing.,negative,67,10
113,Awful acting and a storyline that went nowhere. Very disappointing.,negative,67,10
114,The acting was okay. The story was reasonably entertaining.,neutral,59,9
115,Okay product. Not amazing but not terrible. Neutral feelings.,neutral,61,9
116,I was blown away by the special effects and the emotional depth of the story.,positive,77,15
117,Functional and affordable. That is about all there is to say.,neutral,61,11
118,Not particularly memorable but not offensive either.,neutral,52,7
119,"It was an average film. Some parts were good, others less so.",neutral,61,12
120,Brilliant product. Does exactly what it says on the tin.,positive,56,10
121,Terrible movie. Waste of two hours. The plot made no sense at all.,negative,66,13
122,Heartwarming and funny in equal measure. A perfect family film.,positive,63,10
123,This film restored my faith in Hollywood. Simply outstanding.,positive,61,9
124,I was bored within the first 10 minutes. It never got better.,negative,61,12
125,Average experience. Would not go out of my way to recommend.,neutral,60,11
126,A middle-of-the-road film. Neither impressive nor terrible.,neutral,59,7
127,"Wonderful script, great acting, and a story that stays with you long after.",positive,75,13
128,Absolutely love this! It works perfectly and looks great.,positive,57,9
129,Decent enough. I have seen better but also much worse.,neutral,54,10
130,An emotional rollercoaster in the best possible way. Loved it!,positive,62,10
131,Exactly what I needed. Works flawlessly. Very satisfied.,positive,56,8
132,Nothing made sense in this film. Very frustrating to watch.,negative,59,10
133,Absolute rubbish. Stopped working after one week.,negative,49,7
134,Terrible movie. Waste of two hours. The plot made no sense at all.,negative,66,13
135,Amazing cinematography and a brilliant storyline. A must-watch!,positive,63,8
136,The worst movie I have seen in years. Completely unwatchable.,negative,61,10
137,Amazing cinematography and a brilliant storyline. A must-watch!,positive,63,8
138,A complete disaster from beginning to end. Hugely disappointing.,negative,64,9
139,Reasonable product. Nothing special but does what it should.,neutral,60,9
140,Poorly written and badly directed. A total mess.,negative,48,8
141,One of the most touching movies I have ever watched. Truly inspiring.,positive,69,12
142,Dreadful. Painful to sit through. Avoid at all costs.,negative,53,9
143,Great product! Works exactly as described and arrived quickly.,positive,62,9
144,The worst movie I have seen in years. Completely unwatchable.,negative,61,10
145,Great product! Works exactly as described and arrived quickly.,positive,62,9
146,A huge disappointment. The trailer was far more interesting than the film.,negative,74,12
147,Great product! Works exactly as described and arrived quickly.,positive,62,9
148,The quality is acceptable. Met my basic requirements.,neutral,53,8
149,"Wonderful script, great acting, and a story that stays with you long after.",positive,75,13
150,Utterly forgettable and pointless. A waste of everyone's talent.,negative,64,9
151,This film restored my faith in Hollywood. Simply outstanding.,positive,61,9
152,Decent enough. I have seen better but also much worse.,neutral,54,10
153,Average experience. Would not go out of my way to recommend.,neutral,60,11
154,Completely useless. Does not work as advertised. Avoid.,negative,55,8
155,Functional and affordable. That is about all there is to say.,neutral,61,11
156,Do not buy this. It is a scam. The quality is shocking.,negative,55,12
157,It is alright. Middling quality but serves its purpose.,neutral,55,9
158,This film exceeded all my expectations. Beautiful and moving.,positive,61,9
159,It is alright. Middling quality but serves its purpose.,neutral,55,9
160,Okay product. Not amazing but not terrible. Neutral feelings.,neutral,61,9
161,"The movie was okay. Not great, but not terrible either.",neutral,55,10
162,This film exceeded all my expectations. Beautiful and moving.,positive,61,9
163,Poorly written and badly directed. A total mess.,negative,48,8
164,Incredible performance by the entire cast. Loved every minute of it.,positive,68,11
165,Completely useless. Does not work as advertised. Avoid.,negative,55,8
166,Cheap and nasty. Looks terrible in real life.,negative,45,8
167,"It was an average film. Some parts were good, others less so.",neutral,61,12
168,A masterpiece of modern cinema. The director did an outstanding job.,positive,68,11
169,Awful product. Broke after two days. Total waste of money.,negative,58,10
170,Absolutely love this! It works perfectly and looks great.,positive,57,9
171,A middle-of-the-road film. Neither impressive nor terrible.,neutral,59,7
172,One of the worst films I have ever seen. Do not bother watching.,negative,64,13
173,Exceptional storytelling with a message that really resonates.,positive,62,8
174,"Wonderful script, great acting, and a story that stays with you long after.",positive,75,13
175,It is alright. Middling quality but serves its purpose.,neutral,55,9
176,The chemistry between the lead actors was electric. Very entertaining.,positive,70,10
177,Not worth a single penny. Broke on first use.,negative,45,9
178,Great product! Works exactly as described and arrived quickly.,positive,62,9
179,The characters were flat and the story was painfully slow.,negative,58,10
180,Appalling quality control. Would not recommend to anyone.,negative,57,8
181,Appalling quality control. Would not recommend to anyone.,negative,57,8
182,Zero stars if I could. Dreadful product and even worse service.,negative,63,11
183,A masterpiece of modern cinema. The director did an outstanding job.,positive,68,11
184,One of the worst films I have ever seen. Do not bother watching.,negative,64,13
185,A middle-of-the-road film. Neither impressive nor terrible.,neutral,59,7
186,A huge disappointment. The trailer was far more interesting than the film.,negative,74,12
187,Outstanding customer service and a top-quality product.,positive,55,7
188,Great product! Works exactly as described and arrived quickly.,positive,62,9
189,Five stars all round. Fast shipping and perfect condition.,positive,58,9
190,"Wonderful script, great acting, and a story that stays with you long after.",positive,75,13
191,Average experience. Would not go out of my way to recommend.,neutral,60,11
192,One of the most touching movies I have ever watched. Truly inspiring.,positive,69,12
193,Awful acting and a storyline that went nowhere. Very disappointing.,negative,67,10
194,Amazing cinematography and a brilliant storyline. A must-watch!,positive,63,8
195,Absolutely love this! It works perfectly and looks great.,positive,57,9
196,One of the worst films I have ever seen. Do not bother watching.,negative,64,13
197,Reasonable product. Nothing special but does what it should.,neutral,60,9
198,Average experience. Would not go out of my way to recommend.,neutral,60,11
199,The quality is acceptable. Met my basic requirements.,neutral,53,8
200,The product is okay. Does the job but nothing more.,neutral,51,10
201,"Excellent quality, very happy with my purchase. Will buy again.",positive,63,10
202,This movie was absolutely fantastic! The acting was superb and the story kept me hooked.,positive,88,15
203,Does the job adequately. Nothing exceptional to report.,neutral,55,8
204,Cheap and nasty. Looks terrible in real life.,negative,45,8
205,Some good moments but overall just average.,neutral,43,7
206,I was blown away by the special effects and the emotional depth of the story.,positive,77,15
207,Exceptional storytelling with a message that really resonates.,positive,62,8
208,Awful acting and a storyline that went nowhere. Very disappointing.,negative,67,10
209,Boring and predictable. I nearly fell asleep halfway through.,negative,61,9
210,This movie was absolutely fantastic! The acting was superb and the story kept me hooked.,positive,88,15
211,Average quality. It works but I expected better for the price.,neutral,62,11
212,Absolutely love this! It works perfectly and looks great.,positive,57,9
213,One of the worst films I have ever seen. Do not bother watching.,negative,64,13
214,The characters were so well developed. I felt every emotion with them.,positive,70,12
215,"An ordinary product. Nothing to complain about, nothing to rave about.",neutral,70,11
216,Terrible quality. Looks nothing like the photos. Very disappointed.,negative,67,9
217,A standard entry in the genre. Nothing to get excited about.,neutral,60,11
218,Some good moments but overall just average.,neutral,43,7
219,Zero stars if I could. Dreadful product and even worse service.,negative,63,11
220,Terrible quality. Looks nothing like the photos. Very disappointed.,negative,67,9
221,Misleading description. The product is nothing like what was shown.,negative,67,10
222,Zero stars if I could. Dreadful product and even worse service.,negative,63,11
223,Utterly forgettable and pointless. A waste of everyone's talent.,negative,64,9
224,Boring and predictable. I nearly fell asleep halfway through.,negative,61,9
225,The best movie of the year without a doubt. Stunning visuals.,positive,61,11
226,This film exceeded all my expectations. Beautiful and moving.,positive,61,9
227,Brilliant from start to finish. The pacing was perfect.,positive,55,9
228,Some good moments but overall just average.,neutral,43,7
229,It was fine. Exactly what you would expect from this type of film.,neutral,66,13
230,Great product! Works exactly as described and arrived quickly.,positive,62,9
231,A standard entry in the genre. Nothing to get excited about.,neutral,60,11
232,A standard entry in the genre. Nothing to get excited about.,neutral,60,11
233,Not bad for the money. Neutral experience overall.,neutral,50,8
234,Some good moments but overall just average.,neutral,43,7
235,Best purchase I have made this year. Highly recommend.,positive,54,9
236,It was fine. Exactly what you would expect from this type of film.,neutral,66,13
237,The acting was okay. The story was reasonably entertaining.,neutral,59,9
238,A middle-of-the-road film. Neither impressive nor terrible.,neutral,59,7
239,A feel-good movie that left me smiling for days. Highly enjoyable.,positive,66,11
240,Boring and predictable. I nearly fell asleep halfway through.,negative,61,9
241,The chemistry between the lead actors was electric. Very entertaining.,positive,70,10
242,It was fine. Exactly what you would expect from this type of film.,neutral,66,13
243,Reasonable product. Nothing special but does what it should.,neutral,60,9
244,An emotional rollercoaster in the best possible way. Loved it!,positive,62,10
245,Boring and predictable. I nearly fell asleep halfway through.,negative,61,9
246,Five stars all round. Fast shipping and perfect condition.,positive,58,9
247,The quality is amazing for the price. Very impressed.,positive,53,9
248,The characters were flat and the story was painfully slow.,negative,58,10
249,Nothing special but a passable way to spend an evening.,neutral,55,10
250,Brilliant product. Does exactly what it says on the tin.,positive,56,10
251,Absolute rubbish. Stopped working after one week.,negative,49,7
252,Outstanding customer service and a top-quality product.,positive,55,7
253,"Not bad, not great. A mediocre experience overall.",neutral,50,8
254,This film exceeded all my expectations. Beautiful and moving.,positive,61,9
255,The special effects were cheap and the dialogue was cringeworthy.,negative,65,10
256,Cheap and nasty. Looks terrible in real life.,negative,45,8
257,Terrible quality. Looks nothing like the photos. Very disappointed.,negative,67,9
258,The characters were flat and the story was painfully slow.,negative,58,10
259,I want my money back. This movie was absolutely dreadful.,negative,57,10
260,Utterly forgettable and pointless. A waste of everyone's talent.,negative,64,9
261,The worst movie I have seen in years. Completely unwatchable.,negative,61,10
262,Terrible quality. Looks nothing like the photos. Very disappointed.,negative,67,9
263,Decent enough. I have seen better but also much worse.,neutral,54,10
264,Okay product. Not amazing but not terrible. Neutral feelings.,neutral,61,9
265,Average all round. A solid three-star experience.,neutral,49,7
266,Best purchase I have made this year. Highly recommend.,positive,54,9
267,Absolutely loved it! The plot twists were unexpected and thrilling.,positive,67,10
268,"An ordinary product. Nothing to complain about, nothing to rave about.",neutral,70,11
269,Terrible quality. Looks nothing like the photos. Very disappointed.,negative,67,9
270,"Wonderful script, great acting, and a story that stays with you long after.",positive,75,13
271,Some good moments but overall just average.,neutral,43,7
272,"The movie was okay. Not great, but not terrible either.",neutral,55,10
273,Functional and affordable. That is about all there is to say.,neutral,61,11
274,The film had potential but did not fully deliver on its promise.,neutral,64,12
275,The quality is acceptable. Met my basic requirements.,neutral,53,8
276,Average quality. It works but I expected better for the price.,neutral,62,11
277,The special effects were cheap and the dialogue was cringeworthy.,negative,65,10
278,Not worth a single penny. Broke on first use.,negative,45,9
279,Average experience. Would not go out of my way to recommend.,neutral,60,11
280,Some good moments but overall just average.,neutral,43,7
281,Very poor quality. Fell apart immediately. Total disappointment.,negative,64,8
282,Outstanding customer service and a top-quality product.,positive,55,7
283,Average quality. It works but I expected better for the price.,neutral,62,11
284,One of the most touching movies I have ever watched. Truly inspiring.,positive,69,12
285,Some interesting ideas that were not fully explored. Just okay.,neutral,63,10
286,The worst movie I have seen in years. Completely unwatchable.,negative,61,10
287,Do not buy this. It is a scam. The quality is shocking.,negative,55,12
288,This film exceeded all my expectations. Beautiful and moving.,positive,61,9
289,Not particularly memorable but not offensive either.,neutral,52,7
290,Zero stars if I could. Dreadful product and even worse service.,negative,63,11
291,Exactly what I needed. Works flawlessly. Very satisfied.,positive,56,8
292,Returned immediately. Complete waste of money.,negative,46,6
293,An emotional rollercoaster in the best possible way. Loved it!,positive,62,10
294,"An ordinary product. Nothing to complain about, nothing to rave about.",neutral,70,11
295,Appalling quality control. Would not recommend to anyone.,negative,57,8
296,Super fast delivery and the item was even better than expected.,positive,63,11
297,"The movie was okay. Not great, but not terrible either.",neutral,55,10
298,Outstanding customer service and a top-quality product.,positive,55,7
299,Absolute rubbish. Stopped working after one week.,negative,49,7
300,"Wonderful script, great acting, and a story that stays with you long after.",positive,75,13
301,This movie was absolutely fantastic! The acting was superb and the story kept me hooked.,positive,88,15
